"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Scurry County Hospital District dba Cogdell Memorial Hospital","TX","Healthcare Provider","86981","02/24/2024","Hacking/IT Incident","Network Server","No",""
"MedQ, Inc.","TX","Business Associate","54725","02/23/2024","Hacking/IT Incident","Other","Yes",""
"Bold Quail Holdings, LLC (NewGen Administrative Services, LLC) ","CA","Healthcare Provider","105425","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"UNITE HERE ","NY","Business Associate","791273","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Santa Clarita Community College District","CA","Health Plan","2324","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"CVS Caremark Part D Services, L.L.C. (“CVS”)","RI","Business Associate","11193","02/23/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Prague Regional Memorial Hospital ","OK","Healthcare Provider","1347","02/22/2024","Hacking/IT Incident","Email","No",""
"Washington County Hospital and Nursing Home","AL","Healthcare Provider","29346","02/22/2024","Hacking/IT Incident","Network Server","No",""
"Maryville, Inc.","NJ","Healthcare Provider","15503","02/21/2024","Hacking/IT Incident","Email","No",""
"interventional Pain and Regenerative Medicine","TX","Healthcare Provider","2843","02/21/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity","NC","Healthcare Provider","19085","02/20/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Egyptian Health Department ","IL","Healthcare Provider","100000","02/20/2024","Hacking/IT Incident","Network Server","No",""
"McKenzie County Healthcare System, Inc.","ND","Healthcare Provider","21000","02/16/2024","Unauthorized Access/Disclosure","Email","No",""
"Human Affairs International of California","CA","Business Associate","18347","02/16/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Hospice of Huntington","WV","Healthcare Provider","9013","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Dedicated Physicians Group of Texas, PLLC d/b/a Dedicated Senior Medical Center","FL","Healthcare Provider","3441","02/16/2024","Theft","Other","No",""
"CareFirst BlueCross BlueShield Community Health Plan – District of Columbia","DC","Business Associate","2189","02/16/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider","1000","02/16/2024","Hacking/IT Incident","Network Server","No",""
"CVS Pharmacy, Inc.","RI","Healthcare Provider","1896","02/16/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Dignity Health Welfare Benefits Plan","CO","Health Plan","744","02/15/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Employee Benefits Corporation of America and Benefit Design Group, Inc.","VA","Health Plan","38912","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Qualcomm Incorporated","CA","Health Plan","27038","02/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Amin Radiology d/b/a Citrus Diagnostic Center ","FL","Healthcare Provider","1273","02/15/2024","Hacking/IT Incident","Network Server","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","790","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Lena Pope Home Inc.","TX","Healthcare Provider","3954","02/15/2024","Hacking/IT Incident","Email","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","3480","02/14/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider","1096","02/14/2024","Hacking/IT Incident","Network Server","No",""
"City of Dubuque Fire Department","IA","Healthcare Provider","1381","02/14/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","755","02/14/2024","Hacking/IT Incident","Email","No",""
"Lexington Health, Inc.","SC","Healthcare Provider","1994","02/12/2024","Hacking/IT Incident","Email, Other","No",""
"Erie Indemnity Company Group Dental Assistance Plan","PA","Health Plan","3122","02/12/2024","Hacking/IT Incident","Network Server","Yes",""
"AGC Flat Glass North America, Inc. Welfare Benefits Plan","GA","Health Plan","13079","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Coleman Professional Services Inc. ","OH","Healthcare Provider","51889","02/12/2024","Hacking/IT Incident","Email","No",""
"Prime Healthcare Employee Health Plan","CA","Health Plan","101135","02/09/2024","Hacking/IT Incident","Network Server","Yes",""
"CBIZ Marks Paneth, LLC","OH","Business Associate","5562","02/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","748","02/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server, Other","No",""
"Liberty Hospital","MO","Healthcare Provider","501","02/08/2024","Hacking/IT Incident","Network Server","No",""
"Forward Healthcare, LLC","MD","Healthcare Provider","3999","02/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Medical Management Resource Group, L.L.C.","AZ","Business Associate","2350236","02/06/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","6440","02/06/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"The Bengtson Center for Aesthetics and Plastic Surgery","MI","Healthcare Provider","935","02/05/2024","Unauthorized Access/Disclosure","Desktop Computer, Network Server","No",""
"Kentucky Cabinet for Health and Family Services","KY","Health Plan","857","02/05/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Spectrum Vision Partners","NY","Business Associate","500","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Greater Cincinnati Behavioral Health Services ","OH","Healthcare Provider","50000","02/02/2024","Hacking/IT Incident","Network Server","No",""
"East Side Health District","IL","Healthcare Provider","559","02/02/2024","Hacking/IT Incident","Network Server","No",""
"Health Alliance Medical Plans","IL","Health Plan","6900","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Capital Health System, Inc.","NJ","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Network Server","No",""
"Crescent Community Health Center","IA","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Email","No",""
"Saint Anthony Health Ministries ","IL","Healthcare Provider","500","01/30/2024","Hacking/IT Incident","Network Server","No",""
"Bay Area Heart Center, PA","FL","Healthcare Provider","11709","01/30/2024","Hacking/IT Incident","Network Server","Yes",""
"Veterans Health Administration","DC","Healthcare Provider","46677","01/30/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"OrthoArkansas, PA Employee Benefit Plan","AR","Health Plan","1270","01/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Sun Pain Management, LLC","AZ","Healthcare Provider","2988","01/27/2024","Hacking/IT Incident","Network Server","No",""
"CNO ACE","IN","Health Plan","65295","01/26/2024","Hacking/IT Incident","Network Server","No",""
"Kern Regional Center","CA","Healthcare Provider","700","01/26/2024","Unauthorized Access/Disclosure","Email","No",""
"Artesia General Hospital","NM","Healthcare Provider","1985","01/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"INTEGRIS Health","OK","Healthcare Provider","2385646","01/26/2024","Hacking/IT Incident","Network Server","No",""
"Nabholz Construction Company Employee Welfare Health Plan","AR","Health Plan","5326","01/26/2024","Hacking/IT Incident","Network Server","Yes",""
"United Regional Health Care System","TX","Healthcare Provider","36900","01/26/2024","Hacking/IT Incident","Other","Yes",""
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”) ","MI","Healthcare Provider","6178","01/24/2024","Hacking/IT Incident","Network Server","No",""
"FedEx Corporation Group Health Plan","TN","Health Plan","553","01/24/2024","Hacking/IT Incident","Network Server","Yes",""
"Webber Chiropractic Sports Clinic, Inc. ","WA","Healthcare Provider","1695","01/23/2024","Hacking/IT Incident","Network Server","No",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Business Associate","55055","01/23/2024","Hacking/IT Incident","Network Server","Yes",""
"J.D. Gilmour & Co., Inc.","CA","Business Associate","2481","01/22/2024","Hacking/IT Incident","Email","Yes",""
"Coastal Hospice & Palliative Care","MD","Healthcare Provider","29100","01/22/2024","Hacking/IT Incident","Network Server","No",""
"AHS Management Company, Inc.","TN","Business Associate","23686","01/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","12539","01/22/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Healthcare Provider","307864","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Charities of the Archdiocese of Miami, Inc.","FL","Healthcare Provider","1500","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Omaha Firefighters Healthcare Trust ","NE","Health Plan","3567","01/20/2024","Hacking/IT Incident","Email","No",""
"Columbus Regional Healthcare System","NC","Healthcare Provider","132887","01/19/2024","Hacking/IT Incident","Network Server","No",""
"Regence BlueCross BlueShield of Oregon","OR","Health Plan","856","01/18/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ","MA","Healthcare Provider","846","01/18/2024","Hacking/IT Incident","Email","No",""
"TGI Direct","MI","Business Associate","11556","01/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Brady Martz & Associates PC","ND","Business Associate","7154","01/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Dickinson County Health Department","KS","Healthcare Provider","1063","01/17/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"CR Pharmacy Services, Inc. d/b/a CarePro","IA","Healthcare Provider","151499","01/15/2024","Hacking/IT Incident","Network Server","No",""
"Colorado Ophthalmology Associates, PC","CO","Healthcare Provider","6020","01/13/2024","Hacking/IT Incident","Network Server","No",""
"HORNE, LLP","MS","Business Associate","170052","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Azura Vascular Care","PA","Business Associate","348000","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Pacific Cataract and Laser Institute, Inc., P.C.","WA","Healthcare Provider","9967","01/12/2024","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Covenant Care California, LLC ","CA","Healthcare Provider","501","01/12/2024","Hacking/IT Incident","Network Server","No",""
"Summit Medical Group, PLLC","TN","Healthcare Provider","4135","01/12/2024","Hacking/IT Incident","Network Server","No",""
"Air Methods, LLC","NV","Healthcare Provider","34016","01/12/2024","Theft","Laptop","No",""
"Family Healthcare Center","ND","Healthcare Provider","6457","01/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Hampton-Newport News Community Services Board","VA","Healthcare Provider","44312","01/11/2024","Hacking/IT Incident","Network Server","No",""
"California Public Employees Retirement System","CA","Healthcare Clearing House","2134","01/10/2024","Hacking/IT Incident","Network Server","Yes",""
"InHealth Technologies","CA","Healthcare Provider","12143","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Burr & Forman LLP","AL","Business Associate","19893","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Coastal Plains Community Mental Health Mental Retardation Center","TX","Healthcare Provider","500","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Concentra Health Services, Inc.","TX","Healthcare Provider","3998163","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Psychological Holdings, PLLC d/b/a Senior PsychCare","TX","Healthcare Provider","75349","01/08/2024","Hacking/IT Incident","Network Server","No",""
"Sharp Health Plan","CA","Health Plan","8200","01/08/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Sharp Health Plan","CA","Health Plan","9255","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Catholic Heath Initiative Trinity Medical Center","OH","Healthcare Provider","797","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Dignity Health Nevada St. Rose Dominican Hospital ","NV","Healthcare Provider","2652","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"The Harris Center for Mental Health and IDD","TX","Healthcare Provider","238463","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Daleville Dental II LLC","AL","Healthcare Provider","500","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Veterans Health Administration","DC","Healthcare Provider","2380","01/05/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Tampa Bay Surgical Group   ","FL","Healthcare Provider","1107","01/05/2024","Loss","Other Portable Electronic Device","No",""
"Cooper Clinic, P.A. ","TX","Healthcare Provider","124341","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Fincantieri Marine Group, LLC","DC","Health Plan","11535","01/05/2024","Hacking/IT Incident","Network Server","No",""
"ConsensioHealth, LLC","WI","Business Associate","60871","01/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Morgan Stanley Health Benefits and Insurance Plan","NY","Health Plan","2442","01/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Inyo Healthcare District","CA","Healthcare Provider","1305","01/03/2024","Hacking/IT Incident","Network Server","Yes",""
"North Kansas City Hospital","MO","Healthcare Provider","502438","01/03/2024","Hacking/IT Incident","Network Server","Yes",""
"Amerigroup Iowa, Inc","IN","Business Associate","1023","01/03/2024","Unauthorized Access/Disclosure","Other","Yes",""
"Midwest Long Term Care Services DBA Senior Scripts","MO","Healthcare Provider","10566","01/02/2024","Hacking/IT Incident","Network Server","No",""
"Community Tri-County Healthcare","AL","Healthcare Provider","5809","01/02/2024","Hacking/IT Incident","Network Server","No",""
"Keystone First","PA","Health Plan","1965","01/02/2024","Hacking/IT Incident","Network Server","Yes",""
"HMG Healthcare, LLC","TX","Healthcare Provider","80000","12/29/2023","Hacking/IT Incident","Network Server","No",""
"EDI Health Group dba DentalXChange","CA","Healthcare Clearing House","2574","12/29/2023","Hacking/IT Incident","Network Server","No",""
"Electrostim Medical Services, Inc. d/b/A EMSI","FL","Healthcare Provider","542990","12/28/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","544","12/26/2023","Loss","Laptop","No",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","5000","12/26/2023","Hacking/IT Incident","Email","No",""
"Meridian Behavioral Healthcare, Inc.","FL","Healthcare Provider","98808","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Mountain Dermatology Specialists, PC","CO","Healthcare Provider","2705","12/22/2023","Hacking/IT Incident","Email","No",""
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC","FL","Healthcare Provider","31189","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Highlands Oncology Group PA","AR","Healthcare Provider","55297","12/22/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Kent County Community Mental Health Authority d/b/a Network180 ","MI","Healthcare Provider","59334","12/22/2023","Hacking/IT Incident","Email","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","1284","12/22/2023","Hacking/IT Incident","Email","No",""
"Clay County Social Services","MN","Business Associate","123807","12/22/2023","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","1500","12/22/2023","Unauthorized Access/Disclosure","Desktop Computer, Paper/Films","No",""
"The Foleck Center, LTD","VA","Healthcare Provider","6965","12/22/2023","Hacking/IT Incident","Email","No",""
"Retina Group of Washington, PLLC","MD","Healthcare Provider","455935","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","890959","12/22/2023","Hacking/IT Incident","Network Server","No",""
"RevSpring, Inc.","TN","Business Associate","1053","12/22/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"HealthEC LLC","NJ","Business Associate","4452782","12/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Molina Healthcare of Ohio, Inc. ","CA","Health Plan","1977","12/21/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"AccessDx Laboratory, LLC","TX","Healthcare Provider","535","12/21/2023","Hacking/IT Incident","Email","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","2844","12/21/2023","Hacking/IT Incident","Network Server","Yes",""
"360 Physical Therapy, LLC","ND","Healthcare Provider","520","12/21/2023","Theft","Paper/Films","Yes",""
"Lone Peak Physical Therapy, Inc. ","MT","Healthcare Provider","5809","12/21/2023","Theft","Paper/Films","No",""
"First Choice Dental","WI","Healthcare Provider","1000","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Southeastern Orthopaedic Specialists, PA","NC","Healthcare Provider","35533","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Plaza Radiology, LLC","TN","Healthcare Provider","569022","12/20/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"CompleteCare Health Network","NJ","Healthcare Provider","313973","12/20/2023","Hacking/IT Incident","Network Server","No",""
"Michigan Orthopaedic Surgeons ","MI","Healthcare Provider","67477","12/19/2023","Hacking/IT Incident","Email","No",""
"BELLIN HEALTH","WI","Healthcare Provider","20790","12/19/2023","Hacking/IT Incident","Network Server","No",""
"ZOLL Medical Corporation ","MA","Health Plan","8898","12/18/2023","Hacking/IT Incident","Email","No",""
"ESO Solutions, Inc. ","TX","Business Associate","2700000","12/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Dallas County","TX","Healthcare Provider","501","12/18/2023","Hacking/IT Incident","Network Server","No",""
"Primary Health & Wellness Center, LLC ","MD","Healthcare Provider","4792","12/17/2023","Hacking/IT Incident","Network Server","No",""
"Community Memorial Healthcare, Inc.","KS","Healthcare Provider","14798","12/16/2023","Hacking/IT Incident","Network Server","No",""
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider","6351","12/16/2023","Hacking/IT Incident","Email","No",""
"Eyefinity, Inc.","CA","Business Associate","1353","12/14/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"D'Youville Life and Wellness Community, Inc.","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Mount Carmel Care Center","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Discount Emporium, Inc. d/b/a Drug Emporium","WV","Healthcare Provider","2500","12/14/2023","Hacking/IT Incident","Other","Yes",""
"Independent Vision Group, LTD","WI","Healthcare Provider","2527","12/13/2023","Hacking/IT Incident","Email","No",""
"City of Hope","CA","Healthcare Provider","501","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Health Diagnostic Management, LLC","NY","Business Associate","1863","12/12/2023","Hacking/IT Incident","Network Server","Yes",""
"Regional Family Medicine","AR","Healthcare Provider","80166","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Cardiothoracic and Vascular Surgeons, P.A.","TX","Healthcare Provider","500","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Heart of Texas Behavioral Health Network ","TX","Healthcare Provider","63776","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Healix Infusion Therapy, LLC","TX","Business Associate","8341","12/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Keenan & Associates","CA","Health Plan","4631","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Health Alliance Hospital Mary's Avenue Campus","NY","Healthcare Provider","264197","12/11/2023","Hacking/IT Incident","Network Server","No",""
"New Partners, Inc. d/b/a VNS Health Personal Care","NY","Healthcare Provider","5175","12/08/2023","Hacking/IT Incident","Email","No",""
"VNS CHOICE d/b/a VNS Health Health Plans","NY","Health Plan","13584","12/08/2023","Hacking/IT Incident","Email","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","4264","12/08/2023","Hacking/IT Incident","Email","No",""
"Mercy Medical Center","IA","Healthcare Provider","97132","12/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Independent Living Systems, LLC","FL","Healthcare Provider","19303","12/08/2023","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","123651","12/08/2023","Hacking/IT Incident","Network Server","Yes",""
"City of Homer","AK","Healthcare Provider","1412","12/07/2023","Loss","Other Portable Electronic Device","No",""
"Wichita Urology Group ","KS","Healthcare Provider","5314","12/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Affinity Legacy, Inc.","NY","Health Plan","5538","12/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Prime Healthcare","CA","Healthcare Provider","7185","12/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Akumin Operating Corp.","FL","Healthcare Provider","7127","12/06/2023","Hacking/IT Incident","Network Server","No",""
"Hi-School Pharmacy","WA","Healthcare Provider","12779","12/05/2023","Hacking/IT Incident","Network Server","No",""
"Waterford Country School","CT","Healthcare Provider","500","12/05/2023","Hacking/IT Incident","Network Server","No",""
"Pan-American Life Insurance Group, Inc.","LA","Business Associate","94807","12/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Leggett & Platt Incorporated Employee Benefit Fund","MO","Health Plan","1200","12/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Neurosurgical Associates of New Jersey","NJ","Healthcare Provider","500","12/04/2023","Unauthorized Access/Disclosure","Network Server","No",""
"4 Over LLC Group Health Plan","CA","Health Plan","6491","12/04/2023","Hacking/IT Incident","Network Server","No",""
"Pan-American Life Insurance Group, Inc.","LA","Health Plan","105387","12/04/2023","Hacking/IT Incident","Network Server","No",""
"KY Cabinet for Health and Family Services (CHFS)","KY","Healthcare Provider","2062","12/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Strategic Management LLC","MS","Business Associate","648","12/03/2023","Hacking/IT Incident","Email","Yes",""
"Cardiovascular Consultants Ltd. ","AZ","Healthcare Provider","484000","12/01/2023","Hacking/IT Incident","Network Server","No",""
"The Children’s Home of Wyoming Conference","NY","Healthcare Provider","1111","12/01/2023","Hacking/IT Incident","Network Server","No",""
"Neuromusculoskeletal Center of the Cascades, PC ","OR","Healthcare Provider","19373","12/01/2023","Hacking/IT Incident","Email","No",""
"Community Healthcare Network, Inc. ","NY","Healthcare Provider","500","11/30/2023","Hacking/IT Incident","Network Server","No",""
"F&E Aviation Holdings, Inc.","FL","Health Plan","3097","11/30/2023","Hacking/IT Incident","Network Server","No",""
"Chesapeake Regional Healthcare","VA","Healthcare Provider","31679","11/29/2023","Hacking/IT Incident","Network Server","Yes",""
"County of Rock, WI","WI","Healthcare Provider","25823","11/29/2023","Hacking/IT Incident","Network Server","No",""
"Columbia County Child Abuse Assessment Center dba The Amani Center","OR","Healthcare Provider","2374","11/28/2023","Hacking/IT Incident","Email","No",""
"Foursquare Healthcare, Ltd.","TX","Healthcare Provider","10890","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Inline Plastics Corp.","CT","Health Plan","4853","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Equality Health, LLC","AZ","Healthcare Provider","9240","11/27/2023","Hacking/IT Incident","Email","No",""
"Oak Street Health","IL","Healthcare Provider","3238","11/24/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Montrose Behavioral Health Hospital, Inc.","IL","Healthcare Provider","597","11/24/2023","Hacking/IT Incident","Email","No",""
"Morrison Community Hospital District","IL","Healthcare Provider","122488","11/23/2023","Hacking/IT Incident","Network Server","No",""
"Molina Healthcare of Iowa, Inc.","IA","Business Associate","1647","11/22/2023","Hacking/IT Incident","Email","Yes",""
"Saisystems International, Inc. ","CT","Business Associate","10063","11/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Sierra County (Department of Public Health, Department of Behavioral Health) ","CA","Healthcare Provider","2463","11/22/2023","Hacking/IT Incident","Email","No",""
"East River Medical Imaging, PC","NY","Healthcare Provider","605809","11/22/2023","Hacking/IT Incident","Network Server","No",""
"The Charles Lea Center","SC","Healthcare Provider","1250","11/22/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Eye Care Professionals","OR","Healthcare Provider","950","11/22/2023","Hacking/IT Incident","Network Server","No",""
"Columbus Aesthetic and Plastic Surgery","OH","Healthcare Provider","12677","11/21/2023","Hacking/IT Incident","Network Server","No",""
"Berry, Dunn, McNeil & Parker, LLC","ME","Business Associate","500","11/21/2023","Hacking/IT Incident","Network Server","Yes",""
"U.S. Drug Mart, Inc.","TX","Healthcare Provider","13016","11/21/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"TGI Direct, Inc.","MI","Business Associate","16113","11/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Detroit Chassis, LLC","MI","Health Plan","958","11/21/2023","Hacking/IT Incident","Network Server","No",""
"Proliance Surgeons","WA","Healthcare Provider","437392","11/20/2023","Hacking/IT Incident","Network Server","No",""
"1st Source Bank","IN","Business Associate","1477","11/20/2023","Hacking/IT Incident","Network Server","Yes",""
"Jacksonville Children's and Multispecialty Clinic","NC","Healthcare Provider","40000","11/17/2023","Hacking/IT Incident","Network Server","No",""
"CKF Addiction Treatment, Inc.","KS","Healthcare Provider","501","11/17/2023","Hacking/IT Incident","Email","No",""
"Community Health Network, Inc.","IN","Healthcare Provider","2271","11/17/2023","Hacking/IT Incident","Email, Other","No",""
"Psychiatry Associates of Kansas City","KS","Healthcare Provider","18255","11/17/2023","Hacking/IT Incident","Network Server","No",""
"Wyoming County Community Health System","NY","Healthcare Provider","26000","11/16/2023","Hacking/IT Incident","Network Server","No",""
